Name of Agency,Name of Contact,Contact Email,Contact URL,Special Instructions,Tags,Bio
Vermont State Highway Safety Office,Evelyn Mcfarlane,Evelyn.Mcfarlane@vermont.gov,NA,NA,"[traffic safety, highways, pedestrians, roads, safety, precautions, accident,]","The Vermont State Highway Safety Office facilitates and supports, with federal grants, a statewide network to promote safe driving behavior on Vermont highways. We share a deep concern for the welfare of the traveling public, and believe our main purpose is to save lives through creative, highly visible, innovative, and effective highway safety programs for all modes of transportation. We are committed to our critical role within the State of Vermont, to ensure safe travel on Vermont’s roadways. As part of the VTrans family, we have a responsibility to make a positive impact on peoples’ lives, and to provide a safe, reliable and multimodal transportation system that promotes Vermont’s quality of life and economic well-being.

These goals are accomplished by fostering and expanding local partnerships within the State of Vermont Agencies, State and Local Law Enforcement, and private partners. The primary mission is to identify existing and emerging traffic safety trends through statistically-based problem identification efforts, and to efficiently provide decision makers accurate data for use in determining where the most effective highway safety investment is made.  This includes developing and implementing highway safety programs that save lives and prevent injuries, and providing appropriate safety funds that empower communities to address critical local traffic safety issues.

As highway safety professionals, we are committed to teamwork, integrity and maintaining a positive working environment. In our highway safety partnerships, we respond, cooperate, and provide accurate and timely service.  As the leader of a coordinated statewide effort to eliminate death and serious injury on all of Vermont’s roads and highways, we are tasked with reaching our goals by using the most localized and dependable data possible, learning about most effective countermeasures and understanding the trends around highway safety use and behavior altering activities."
Vermont Historical Society,NA,NA,https://vermonthistory.org/contact-us,NA,"[historical records, history,]","Learn about Vermont’s exciting past in our museum, heritage exhibits, and library! Or make new discoveries for your research project, family or community history with our programs, educational offerings, and books."
Vermont Housing and Conservation Board,NA,info@vhcb.org,NA,NA,"[nonprofit housing, development, affordable housing, public lands,]","Established in 1987, the Vermont Housing & Conservation Board remains the forerunner in the nation in pioneering a comprehensive approach to affordable housing and community development linked with land conservation and historic preservation. The results have been impressive. With a cadre of nonprofit organizations working at the local level to identify and develop important projects in each community, the effects of more than 30 years of investment are discernible in every part of the state. VHCB has supported reinvestment in older housing in town and village centers, revitalizing downtown neighborhoods where residents can walk to services, and rebuilding a sense of community while spurring other private investment. The conservation of Vermont’s open and wild lands preserves the landscape that is such an integral part of the state’s identity, supports the agricultural and forest economies, protects wildlife habitat, and provides public access to the state’s waterways and woodlands.

Impact
Since its inception, the Board has awarded $370 million to nonprofit housing and conservation organizations, towns, municipalities and state agencies to conserve land, develop housing and restore historic community buildings in more than 200 towns. This investment has directly leveraged approximately $1.7 billion from other private and public sources and resulted in the creation of more than 13,420 affordable homes, the conservation of 437,000 acres of agricultural and recreational lands, forestland and natural areas, and the restoration of 74 historic community buildings for public use. Many VHCB housing awards have supported housing in buildings eligible, nominated or listed on the State or National Register of Historic Places. Historic barns and farmhouses and archeological sites are located on many farms conserved with VHCB funding.

Addressing Challenges with Creative Solutions
Breaking down traditional silos of housing, economic development, and conservation, VHCB helps Vermonters tackle issues of chronic poverty, job losses, affordability, and fraying infrastructure. With our partners we provide affordable homes for working families, improve community infrastructure, invest in natural, recreational and historic assets, grow farm and forest businesses, and support energy efficiency and renewable energy generation. The economy of our rural state is becoming more resilient and the quality of life is improving as state agencies, nonprofit organizations, and the private sector work together to develop coordinated solutions to complex issues.

Over time, strategic VHCB investments have improved the economic stability of Vermont communities and downtowns, municipal and non-profit delivery systems, working lands, and Main Street businesses. In meeting multiple economic, environmental, and community objectives, VHCB supports housing, conservation, and community development projects that leverage private and federal funds, contribute to healthy communities and landscapes, promote smart growth, and support economic vitality."
Vermont State Housing Authority,NA,gro.ahsv@tcatnoc,NA,NA,"[public housing, housing initiatives, housing assistance, ]","he Vermont State Housing Authority has been in the business of providing critical housing assistance in Vermont for more than 50 years.

Established in 1968, VSHA has the distinction of being the first statewide housing authority in the nation.  Throughout our history, we have aggressively and compassionately pursued opportunities to provide and make housing more accessible and affordable for Vermonters.  Today, we serve more than 8500 families and are active in almost every community within the state.  Our affordable housing initiatives reach many Vermonters, from senior citizens, young families, those who are homeless and those with special needs to residents of mobile home parks. We invite you to travel through our website and see the many housing opportunities and services we provide."
Vermont Housing Financing Committee,George Demas,NA,https://www.vhfa.org/contact/vhfa/staff/George%20Demas,NA,"[housing loans, mortgages, down payments, housing funding]","Vermont Housing Finance Agency (VHFA) was established in 1974 to finance and promote affordable, safe and decent housing opportunities for low- and moderate-income Vermonters.

Since its inception, VHFA has helped 29,000 primarily first-time home buyers and their families purchase homes. It also provides financing, development and management support, subsidy administration and tax credits for approximately 8,800 affordable apartments statewide. Each U.S. state has a housing finance agency. 

Goals
1. To provide access to low-cost, flexible, innovative affordable housing programs and maximize the benefit to Vermont communities.

2. To work in partnership with others to:

Encourage and support coordinated planning and funding for affordable housing;
Facilitate the expansion of resources available for affordable housing in Vermont;
Address the needs of Vermonters who have been historically marginalized;
Heighten awareness of housing needs for low- and moderate-income Vermonters; and
Ensure housing remains perpetually affordable where appropriate.
3. To ensure the Agency has a strong and flexible financial and operational platform from which to pursue its mission.

4. To sustain a workplace conducive to attracting and retaining a highly qualified and motivated staff, equipped with the tools necessary to work efficiently and promote excellence.

Vision Statement
VHFA opens doors so that every Vermonter can have a home they can afford, which is the cornerstone for building healthy communities.

Activities
VHFA's primary activities include:

Single-family and homeownership mortgage financing programs
Rental housing programs including:
Multifamily loan programs
Asset management and monitoring
HAP contract administration
Federal and state Housing Tax Credit programs
In addition, VHFA analyzes and shares housing data, best practices and research innovations and supports communities, partners and policy makers seeking to improve housing affordability and opportunity. 

Funding
VHFA operates with an average staff size of 38 and receives no general appropriation of state funds. Its loan programs are funded primarily through the issuance of tax-exempt bonds.

VHFA operates on the net funds generated from fees and interest income that amounts to the difference between its cost of funds and the interest rate charged on its investment in loans.

Bonds issued by VHFA are secured by the cash flows of the underlying loans made by the Agency, and are not obligations of the State of Vermont."
State of Vermont Human Rights Commission,NA,human.rights@vermont.gov,NA,NA,"[human rights, civil rights, accomodations,]","The mission of the Vermont Human Rights Commission is to promote full civil and human rights in Vermont. The Commission protects people from unlawful discrimination in housing, state government employment, and public accommodations.

Strategies to Achieve the Mision and Vision
The Commission pursues its mission by:

Enforcing laws through investigations and litigation
Complaints alleging violations of anti-discrimination laws are investigated impartially and decided by the Human Rights Commission.

Conciliating disputes pre and post investigative reports
Complainants and Respondents are offered timely and meaningful access to mediation services or informal means of conciliation that promote mutually satisfactory resolutions to their disputes.

Educating the public and providing information and referrals
HRC staff offer information, referrals, educational programs, and educational training to those who request these services. Additionally, HRC staff requests relief in the form of training in all post-investigative settlements and when appropriate, in pre[1]investigative settlements. HRC staff engage in coalition and community activities that address the needs of members of protected categories.

Advancing effective public policies on human rights 
The HRC provides leadership in public policy development with respect to civil and human rights issues in Vermont and presents testimony to the Legislature on such issues as well as advice to the executive and judicial branches upon request."
Vermont Agency of Human Services,Diane Nealy, Diane.Nealy@vermont.gov,https://humanservices.vermont.gov/public-records-research,NA,"[human services, mental health,]","The Agency of Human Services strives to improve the health and well-being of Vermonters today and tomorrow and to protect those among us who are unable to protect themselves.

The Agency of Human Services (AHS) was created by the Vermont Legislature in 1969 to serve as the umbrella organization for all human service activities within state government. The agency is currently led by Secretary Mike Smith, appointed by Governor Phil Scott in October 2019. The Secretary’s Office (or Central Office) is responsible for strategically leading the agency and its departments in establishing and implementing agency-wide and government wide policies and practices.

The scope of AHS is profound. Through its six departments, twelve district offices, and a network of community partners and providers, it is responsible for the implementation and delivery of all human service programs within the state. Each department has a distinct area of focus and responsibility and contributes to the creation and sustenance of an entire system of human service supports.

As a single entity, the agency builds a continuum of care that protects and supports vulnerable Vermonters, develops and promotes whole population approaches to physical and behavioral health, and works to build safety and resilience at the individual, family, and community level."
Vermont Judiciary,NA,NA,https://www.vermontjudiciary.org/about-vermont-judiciary/data-and-information-requests,NA,"[supreme court, justices, court, trials, criminal, felony, misdemeanor]","The Vermont Judiciary is a coequal branch of government. It is an important element in the balance of power among the three branches of government. This balance of power is essential to the vitality of our democracy.

The courts provide a forum for resolution of disputes. This includes cases that address the protection of individual rights and public safety. It also includes cases that address business and commercial concerns.

The Vermont Judiciary consists of an appellate court, which is the Supreme Court, and a trial court, known as the Vermont Superior Court. There are 14 units of the Superior Court, one corresponding to each county. The Superior Court has five divisions: civil, criminal, environmental, family, and probate. The Judiciary also has a Judicial Bureau, which has statewide jurisdiction. Each of these courts has a distinct role in providing justice."
Vermont Labor Relations Board,Judith Dillon,judith.dillon@vermont.gov,NA,NA,"[unions, collective bargianing, units, labor, union elections, unfair practices,]","Structure
The Board consists of six part-time members. A panel of three Board members generally hears and decides each case which goes to a hearing. The Board has two employees - Executive Director and Clerk.

Procedures
Unit Determinations and Representation Elections
Upon the filing of a petition for election of collective bargaining representative or a unit clarification petition, Board staff intervene actively with the parties to seek to resolve any unit determination issues in dispute. Unit disputes are informally resolved in many instances; if unit issues are not informally resolved, then a panel of three Board members will decide the matter after a hearing and filing of briefs. In cases where petitions for election or decertification of a collective bargaining representative are filed, once unit issues are resolved, Board staff conduct representation elections, usually at the involved workplace.

Unfair Labor Practices
Upon filing of unfair labor practice charges, the Board will seek an informal response from the employer or union against whom the charge was filed. Board staff then may meet with the parties to investigate the charge and explore the informal resolution of it. In some cases, the Board will not conduct an investigation beyond the pleadings, and will decide whether to issue a complaint based on the pleadings. If a complaint is issued, an evidentiary hearing governed by the Rules of Evidence is conducted by a three member panel of the Board. After providing the parties with an opportunity to file briefs, the Board issues a written decision.

Grievances
Grievances under the State Employees Labor Relations Act comprise a substantial part of the caseload of the Board, approximately half of its cases. Once a grievance is filed and the employer has filed an answer to it, Board staff often meet with the parties in informal status conferences or pre-hearing conferences to explore informal settlement of the grievance, discuss discovery issues, clarify issues, and/or seek to narrow the issues. If a grievance is not informally resolved and is not otherwise dismissed pursuant to a motion, the grievance is heard by a three member panel of the Board. Grievance hearings are more informal than unfair labor practice hearings in that they are not governed by the Rules of Evidence. The parties are provided with an opportunity to file post-hearing briefs. The Board then deliberates, and issues a written decision.

Appeal and Enforcement of Board Decisions
Board decisions generally may be appealed directly to the Vermont Supreme Court on questions of law. The Board decides whether its decisions should be stayed pending appeal, and that stay decision also may be appealed to the Supreme Court. Board decisions are enforceable by a party or the Board in superior court.

Publications and Educational Services
The Board has Rules of Practice specific to each of the labor relations acts which it administers. The Board publishes volumes of decisions every one or two years, and now has published volumes covering the years 1977 through 2020. The Board also publishes a Guide to Vermont Labor Relations Statutes, the purpose of which is to keep practitioners before the Board fully aware of case law precedents. The Guide is updated annually, and contains: 1) copies of Vermont labor relations statutes, 2) a cumulative subject index of all Board decisions since 1977, 3) a cumulative alphabetical index of all Board decisions since 1977, 4) a cumulative subject index of Vermont Supreme Court public sector labor relations decisions, 5) a digest of all Vermont Supreme Court decisions on appeals of Board decisions and 6) the Board Rules of Practice.  Further, the Board has issued the fifth edition of a book on Vermont labor relations law entitled The Evolving Vermont Labor Relations Law.

In addition to these publications, the Board conducts labor relations conferences and training sessions. The Board is an active member of the Association of Labor Relations Agencies and the New England Consortium of State Labor Relations Agencies."
Vermont Department of Libraries,Thomas McMurdo,Thomas.McMurdo@vermont.gov,NA,NA,"[libraries, librarian, book, books, ]","The Vermont Department of Libraries supports libraries in Vermont as they work to ensure access to quality information for their patrons. Please contact us to let us know how we can help you. You can also keep up with us on Facebook, Twitter, and Instagram.

Office of the State Librarian
Vermont Public Library Foundation
Board of Libraries
Organizational Chart
Vermont Library Statutes
Department Strategic Plan 2021-22
Federal Library Services & Technology Act (LSTA)
Department FY2022 Budget Request
State of Vermont Spotlight on Government Transparency"
Office of Lieutenant Governor Molly Gray,NA,NA,Links to Agency of Administration,NA,"[molly gray, lieutenant governor, ]",Lieutenant Governor Molly Gray is Vermont’s 82nd Lieutenant Governor.
Vermont Department of Liqour and Lottery,Liqour: Wendy Knight; Lottery: Brian McLaughlin,Liquour: wendy.knight@vermont.gov; Lottery: Brian.mclaughlin@vermont.gov,,Separate contacts for liqour and lottery,"[liqour, lottery, booze, gambling,]","On June 7, 2018, during a special session of the legislature, H.7 (Act 1 of the special session) was passed by the General Assembly. The bill was signed into law on June 19, 2018 creating the new Department of Liquor and Lottery. 

The Vermont Division of Liquor Control is here to serve the public by preventing the misuse of alcohol and tobacco through controlled distribution, enforcement, education; and provide excellent customer service by operating efficient, convenient liquor agency stores.

The Vermont Division of Lottery is committed to contributing all proceeds to the Education Fund, while also strongly communicating the importance of responsible gaming."
Vermont Millitary Property and Installations Office,NA,NA,http://www.mil.state.vt.us/content/employee_contact%20list.html,NA,"[millitary land, property, items, fatigues, buildings, army, national guard, training areas, land management]",
Vermont Department of Motor Vehicles,NA,NA,https://dmv.vermont.gov/about-vermont-dmv/public-records,NA,"[dmv, cars, car registration, drivers license, id, drivers test,]","We are very pleased to welcome you to our web site.

Integrity, Accountability, Professionalism and Accuracy/Quality of Information are the DMV's Core Values.

We understand that we may be the part of state government that you are most likely to interact with. We take our customer service responsibilities very seriously and if for any reason your experience is less than satisfactory, please let me know.

Our web site is designed to readily provide you with the information you are seeking. We trust that from our “Frequently Asked Questions” (FAQ’s) to our office locations and hours of service, we have answered your most pressing needs.

We encourage you to take a few moments and explore the service options we are presently offering. Our goal is to offer services in a way that our customers expect from a top notch retail provider. We are working to expand the opportunities to process your transactions over the web, as well as serving you through the mail or in person at one of our locations. Please consider the ease of DMV transactions through this electronic medium. Although we take great pride with the customer service of our walk-in facilities, we also realize they can at certain times be crowded and sometimes produce a waiting time that is longer than is easily accepted.

It is our wish that you will find this web site to be designed in a customer friendly manner and provide the means to obtain DMV information in an efficient way. Thank you for visiting us here.

DMV Commissioner Wanda Minoli "
Vermont Bond Bank,NA,NA,https://www.vtbondbank.org/public-notices-reports,NA,"[bonds, loans, banking]","Nearly fifty years ago, the Vermont General Assembly established the Bond Bank to provide loans for local infrastructure projects following a period of facilities construction across the state when the ability to secure long-term debt financing was at risk.
 
The solution embodied in the Bond Bank was a state instrumentality with a mandate to “foster and promote by all reasonable means” access to long-term debt financing while, to the extent possible, reducing related costs to taxpayers and residents.

 
Over the ensuing years, the Bond Bank has financed billions of dollars in local investment by purchasing and “banking” the bonds and notes of governmental units.The Bond Bank is governed by a five-member Board of Directors with four appointed by the Governor and the State Treasurer serving as an ex-officio member."
Vermont National Guard,NA,NA,https://www.nationalguard.mil/Resources/FOIA/,Must FOIA Federal Agency,"[national guard, army, emergency,]","The F-35A Lightning II fifth generation fighter uses aerodynamic performance and advanced integrated avionics to provide next-generation stealth, enhanced situational awareness, and reduced vulnerability for the United States and allied nations. In 2016, the United States Air Force selected the 158th Fighter Wing to receive the first F-35A's in the Air National Guard after an extensive review. The initial two F-35A's arrived in Vermont in the fall of 2019 and the 158th FW reached their full inventory of 20 fighter jets a year later. Currently, the 158th FW is on track to complete their conversion requirements by the end of calendar year 2021, at which point they will become fully operational. The Air Force has no plans to change the decision to base the F-35A's in Burlington, Vermont."
Vermont Agency of Natural Resources,Marcella Dent,Marcella.Dent@vermont.gov,https://anr.vermont.gov/public-records#dec,NA,"[natural resources,]","Welcome to the Vermont Agency of Natural Resources
The Vermont Agency of Natural Resources is charged with oversight and management of Vermont's natural environment on behalf of the people of Vermont. We endeavor to draw from and build upon Vermonters' shared ethic of responsibility for our natural environment, an ethic that encompasses a sense of place, community and quality of life, and an understanding that we are an integral part of the environment, and that we must all be responsible stewards for this and future generations.

Our Leadership
The Agency of Natural Resources is led by Secretary Julie Moore, appointed in January 2017 by Vermont Governor Phil Scott.

What We Do
The Agency of Natural Resources is comprised of three departments.

The Department of Environmental Conservation exists to advance clean air, clean water and healthy communities. The Department's 300 staff manange programs to protect water and air quality, regulate solid and hazardous wastes, and administer a number of pollution and waste reduction programs. 
The Department of Fish & Wildlife conserves Vermont's fish, wildlife, plants and their habitats for Vermonters to enjoy. The department includes over 125 biologists, game wardens, educational coordinators and support staff committed to five divisions: Fisheries, Wildlife, Law Enforcement, Outreach and Administration.
The Department of Forests, Parks and Recreation is responsible for the conservation and management of Vermont's forest resources, the operation and maintenance of the State Park system, and the promotion and support of outdoor recreation for Vermonters and our visitors. In addition, FPR is responsible for the acquisition, planning coordination and administration of all Agency of Natural Resources lands.
In addition to these departments, the Agency of Natural Resources supports cross-agency topics include climate change, flood resilience, and invasive species management.

Act 250 is administered by the Land Use Panel of the Natural Resources Board, which is an organization that is independent of the Agency of Natural Resources. Visit their website, or view the Act 250 searchable database.

For more on government transparency, please visit https://spotlight.vermont.gov/  "
Vermont Council on Physical Fitness and Sports,NA,NA,NA,Links to Governor's Office ,"[sports, athletics, fitness, health]","The council shall promote physical fitness through development of services and programs, sponsoring activities, recognizing outstanding achievement, stimulating research, and initiating advertising campaigns, encouraging schools, governments and the private sector and promoting Green Mountain State Games."
Vermont State Police,NA,NA,https://vsp.vermont.gov/public,NA,"[staties, state police, crime, safety, highways,]","The Vermont State Police is a full-service law-enforcement agency that provides primary law-enforcement services to about 200 towns, 90 percent of the land mass, and 50 percent of the population in Vermont. Our Emergency Communication Dispatchers answer roughly 89 percent of all E-911 calls made in Vermont. In addition, the specialized resources of the Vermont State Police support our local, county and federal partners in times of need.

The 332 sworn members and 64 emergency dispatchers and civilian support staff who work for the Vermont State Police make a difference in the safety of Vermonters and visitors, every day. The Vermont State Police is committed to excellence, including our mission, vision, and core values.

Colonel Matthew Birmingham is the director of the Vermont State Police. He can be reached by email and through the Vermont State Police Headquarters in Waterbury at 802-244-7345.

Colonel Birmingham oversees the three divisions that make up the Vermont State Police: 

The Field Force Division, commanded by Maj. James Whitcomb, consists of 10 field stations throughout Vermont.
The Criminal Division, commanded by Maj. Dan Trudeau, investigates major crimes including homicides, drug cases and other specialized investigations. 
The Support Services Division, commanded by Maj. Kevin Lane, oversees recruitment, training, technology, fair & impartial policing, public information and Internal Affairs. Maj. Lane also serves as the department's executive officer.
View the 2020 - 2022 Vermont State Police Strategic Plan 

Mission Statement
The mission of the Vermont State Police is to individually and collectively serve and protect by providing the highest quality of professional law-enforcement services."
Vermont Department of Publci Service,Carol Flint,carol.flint@vermont.gov,https://publicservice.vermont.gov/content/public-records,NA,"[public service, community service, community broadband, LECAP, utility bills,]","The Vermont Department of Public Service (Department) is an agency within the executive branch of Vermont state government. Its charge is to represent the public interest in matters regarding energy, telecommunications, water and wastewater. The Department carries out this charge by:

Representing the public interest in utility cases before the Public Utility Commission, federal regulatory agencies, and state and federal courts
Providing long range planning for the state's energy and telecommunications needs through the Vermont Electric Plan, the Comprehensive Energy Plan, and the Vermont Telecommunications Plan
Facilitating broadband expansion
Promoting energy efficiency
Administering federal energy programs
Resolving utility customer complaints
Informing the public about utility-related matters
Making and administering contracts for the purchase of power on behalf of the state
As the public's advocate, the Department is a separate agency from the Vermont Public Utility Commission, which serves as the quasi-judicial or decision-making authority in utility regulatory cases.

Commissioner
Commissioner June E. TierneyJune E. Tierney was sworn in as the Commissioner of the Vermont Department of Public Service by Governor Phil Scott on January 5, 2017.  Prior to her appointment, Commissioner Tierney served as general counsel to the Vermont Public Utility Commission (2012-2016).  Before then, she was a PUC hearing officer (2008-2012), as well as a staff attorney at the Vermont Department of Public Service (2001-2008).  A 1986 graduate of Boston University and a 1993 graduate of Vermont Law School, Commissioner Tierney began her legal career with a clerkship at the Vermont Supreme Court, followed by three years as an associate at Davis Polk & Wardwell in New York City, where she specialized in securities fraud litigation, white collar crime defense and corporate internal compliance investigations.  Before her admission to the bar, Commissioner Tierney enjoyed the privilege of serving on active duty (1986-1990) as a commissioned officer in the United States Army.

Mission
The mission of the Vermont Department of Public Service (Department) is to serve all citizens of Vermont through public advocacy, planning, programs, and other actions that meet the public's need for least-cost, environmentally sound, efficient, reliable, secure, sustainable, and safe energy, telecommunications, and regulated utility systems in the state for the short- and long-term. The Department does this by:

Promoting the interest of the general public in the provision of the state's regulated public services---electricity, natural gas, telephone, cable television, and to a limited degree water and wastewater
Ensuring that the state's telecommunications infrastructure can support a diversified set of services that address the current and potential needs of the state's residents and business entities
Protecting the public health and safety and ensuring that safety regulations established by federal and state government for nuclear facilities, natural gas, and certain types of propane installations are met
Divisions
This page contains information about the structure of the Department of Public Service, which consists of the following divisions:

Regulated Utility Planning 
Efficiency and Energy Resources
Engineering
Telecommunications and Connectivity
Public Advocacy
Finance and Economics Section
Consumer Affairs and Public Information
Budget
The Department of Public Service (PSD) is funded by Special and Federal Funds. The PSD does not rely on General Funds. The PSD is primary funded by the gross revenue tax on utility bills pursuant to 30 V.S.A. § 21, with some programs funded through federal grants and the Energy Efficiency Charge. For information about the PSD budget, see the Fiscal Year 2019 Department Budget.

Contact Us
For contact information, please visit our Contact Us page or fill out our contact form.

Attribution
Thanks to Sterling College in Craftsbury, Vermont for providing the image on the front page of this website."
Vermont Public Utility Comission,Holly Anderson,puc.clerk@vermont.gov,https://puc.vermont.gov/about-us/public-records-requests,NA,"[utilities, gas, electric, water, sewer,]","The Commission's mission is to ensure the provision of high-quality public utility services in Vermont at minimum reasonable costs, consistent with the long-term public good of the state. The Commission strives to achieve its mission by providing independent, fair, and efficient means of resolving public utility disputes, and by guiding the development of state utility policies and rules for public services to best serve the long-term interests of Vermont and its residents, all as defined in Title 30 V.S.A. 

 

Our Responsibilities
The Public Utility Commission is a three-member, quasi-judicial commission that supervises the rates, quality of service, and overall financial management of Vermont's utilities: electric, natural gas, telecommunications, and private water companies. The Commission also supervises cable television companies, although federal law preempts most authority to regulate cable rates or programming. The Commission also reviews the environmental and economic impacts of proposals to purchase energy supply or build new energy facilities; monitors the safety of hydroelectric dams; evaluates the financial aspects of nuclear plant decommissioning and radioactive waste storage; reviews rates paid to independent power producers; and oversees the statewide Energy Efficiency Utility programs."
